t_unix_s,pressure_kpa
1769114653.894858,100.210
1769114653.922942,100.210
1769114653.947524,100.220
1769114653.976099,100.220
1769114654.005107,100.220
1769114654.034324,100.200
1769114654.062865,100.210
1769114654.091322,100.220
1769114654.120304,100.220
1769114654.148891,100.200
1769114654.176896,100.210
1769114654.205873,100.200
1769114654.234886,100.210
1769114654.263428,100.210
1769114654.287720,100.210
1769114654.316829,100.210
1769114654.345421,100.200
1769114654.373396,100.210
1769114654.402979,100.200
1769114654.431010,100.210
1769114654.459507,100.210
1769114654.488489,100.220
1769114654.517540,100.210
1769114654.546284,100.190
1769114654.574282,100.210
1769114654.603284,100.210
1769114654.627699,100.210
1769114654.656246,100.210
1769114654.685246,100.210
1769114654.714264,100.210
1769114654.742464,100.210
1769114654.771450,100.220
1769114654.800461,100.210
1769114654.828469,100.210
1769114654.857661,100.200
1769114654.886154,100.210
1769114654.914152,100.210
1769114654.943563,100.210
1769114654.967556,100.210
1769114654.996560,100.210
1769114655.024699,100.200
1769114655.054008,100.220
1769114655.083007,100.210
1769114655.111028,100.210
1769114655.139388,100.210
1769114655.168411,100.220
1769114655.197409,100.210
1769114655.225415,100.210
1769114655.254935,100.210
1769114655.282951,100.220
1769114655.307953,100.210
1769114655.336962,100.210
1769114655.365090,100.210
1769114655.393830,100.210
1769114655.422985,100.200
1769114655.451147,100.210
1769114655.480161,100.210
1769114655.508159,100.210
1769114655.537163,100.210
1769114655.566279,100.200
1769114655.594278,100.210
1769114655.623271,100.220
1769114655.648370,100.210
1769114655.676369,100.200
1769114655.705350,100.210
1769114655.734378,100.220
1769114655.762461,100.210
1769114655.791460,100.210
1769114655.819457,100.210
1769114655.848986,100.210
1769114655.876984,100.200
1769114655.905965,100.210
1769114655.934975,100.200
1769114655.959503,100.210
1769114655.988488,100.210
1769114656.016508,100.210
1769114656.044941,100.220
1769114656.074303,100.210
1769114656.102356,100.210
1769114656.131370,100.230
1769114656.159568,100.210
1769114656.188557,100.210
1769114656.217659,100.210
1769114656.246222,100.210
1769114656.274238,100.210
1769114656.303224,100.210
1769114656.328244,100.200
1769114656.356458,100.210
1769114656.385477,100.210
1769114656.413534,100.210
1769114656.442085,100.190
1769114656.471067,100.210
1769114656.500083,100.220
1769114656.528098,100.220
1769114656.557589,100.210
1769114656.585607,100.210
1769114656.614096,100.210
1769114656.638623,100.220
1769114656.667639,100.210
1769114656.696639,100.220
1769114656.725646,100.200
1769114656.753744,100.210
1769114656.782756,100.210
1769114656.810881,100.200
1769114656.839387,100.220
1769114656.868401,100.210
1769114656.897401,100.210
1769114656.925439,100.210
1769114656.954143,100.210
1769114656.979142,100.210
1769114657.008155,100.210
1769114657.037143,100.210
1769114657.065548,100.190
1769114657.094191,100.200
1769114657.122192,100.200
1769114657.151306,100.210
1769114657.180306,100.210
1769114657.208287,100.210
1769114657.237347,100.210
1769114657.265512,100.210
1769114657.294941,100.200
1769114657.318941,100.220
1769114657.347468,100.210
1769114657.376470,100.210
1769114657.405451,100.220
1769114657.434456,100.210
